total  ,  96275904
average log, 5.98351
test000,968258
test001,962804
test002,968710
test003,961346
test004,962708
test005,954192
test006,964774
test007,959822
test008,959242
test009,953818
test010,961856
test011,968914
test012,949338
test013,953360
test014,965878
test015,964618
test016,959202
test017,968564
test018,968660
test019,967296
test020,963966
test021,952050
test022,972350
test023,971016
test024,949682
test025,948258
test026,959128
test027,965288
test028,966924
test029,964430
test030,967602
test031,969572
test032,957474
test033,966614
test034,956680
test035,971266
test036,961582
test037,975490
test038,952192
test039,975080
test040,963092
test041,960964
test042,965124
test043,961656
test044,958964
test045,970478
test046,971354
test047,962568
test048,968528
test049,964910
test050,960256
test051,953092
test052,959344
test053,967938
test054,966074
test055,956148
test056,959022
test057,963026
test058,968002
test059,966760
test060,966426
test061,968306
test062,966076
test063,970066
test064,965678
test065,962942
test066,959028
test067,972868
test068,958812
test069,956242
test070,958190
test071,965604
test072,964818
test073,958838
test074,969806
test075,963568
test076,968088
test077,959960
test078,967224
test079,972798
test080,953654
test081,936754
test082,959428
test083,952134
test084,962444
test085,968144
test086,956980
test087,966846
test088,964350
test089,956150
test090,953608
test091,969150
test092,968538
test093,956730
test094,957498
test095,971500
test096,969158
test097,964194
test098,954668
test099,961334
