total  ,  37863082
average log, 4.98376
test000,109856
test001,124708
test002,83818
test003,464933
test004,36842
test005,22169
test006,55374
test007,536870
test008,1253165
test009,12341
test010,40677
test011,86790
test012,865267
test013,3323529
test014,11113
test015,49891
test016,73923
test017,99452
test018,213811
test019,243531
test020,648899
test021,20578
test022,37608
test023,11164
test024,11246
test025,4786542
test026,54042
test027,198094
test028,92534
test029,57812
test030,46388
test031,140499
test032,740086
test033,89468
test034,780077
test035,104414
test036,34728
test037,2286069
test038,93064
test039,24669
test040,274980
test041,15335
test042,11000
test043,80490
test044,2011207
test045,387841
test046,12431
test047,11119
test048,24141
test049,766291
test050,162983
test051,12789
test052,22154
test053,12115
test054,1101836
test055,42750
test056,86275
test057,53462
test058,17149
test059,74552
test060,83916
test061,39114
test062,68197
test063,11069
test064,21734
test065,14947
test066,51469
test067,480961
test068,124648
test069,69928
test070,113636
test071,72115
test072,99916
test073,507760
test074,193279
test075,88416
test076,350625
test077,2361314
test078,13221
test079,128288
test080,97380
test081,3285628
test082,27248
test083,103041
test084,89765
test085,4301295
test086,69765
test087,59283
test088,11842
test089,39084
test090,11331
test091,49535
test092,70448
test093,229536
test094,107429
test095,83379
test096,933941
test097,46831
test098,103891
test099,100936
